bahan_a	bahan_b	senyawa_toksik	gejala	level	sumber	deskripsi
Cold drinks + oily food	-	Suhu kontras + lemak	Gangguan pencernaan, kram perut	warning	Nutritional science	Minuman dingin menyebabkan lemak mengeras sementara di saluran cerna.
Fruit immediately after heavy meal	-	Fermentasi gula	Kembung, gas berlebihan	warning	Nutritional science	Buah yang dimakan setelah makan berat dapat difermentasi di lambung karena tertahan oleh protein/lemak.
Melon + any other food	-	Enzim papain (melon)	Pencernaan terganggu	warning	Traditional food science	Melon dicerna sangat cepat; jika dimakan dengan makanan lain, melon tertahan dan difermentasi.
Radish + milk	-	Senyawa reaktif	Gangguan pencernaan, kembung	warning	Traditional	Nabi (lobak) bereaksi dengan protein susu menyebabkan ketidaknyamanan pencernaan.
Petai + alkohol	-	Senyawa sulfur + asetaldehida	Bau badan kuat, potensi gangguan pencernaan	warning	Traditional Indonesian	Petai mengandung sulfur tinggi yang diperkuat oleh alkohol.
Jengkol + kopi	-	Asam jengkolat + kafein	Gangguan ginjal, diuresis berlebihan	warning	Traditional Indonesian	Kombinasi dapat memperberat kerja ginjal.
Wortel + jeruk (juice bersamaan)	-	Karoten berlebihan	Karotenemia (kulit menguning)	warning	Nutritional science	Konsumsi berlebihan wortel + jeruk dalam jus dapat meningkatkan kadar karoten secara berlebihan.
Bayam + susu dalam masakan	-	Oxalat + kalsium	Batu ginjal (kalsium oksalat)	warning	Nutritional science	Oxalat dalam bayam mengikat kalsium dari susu membentuk kristal kalsium oksalat.
Kuning telur mentah + biotin	-	Avidin (protein telur mentah)	Defisiensi biotin, kerusakan rambut/kuku	warning	FDA; Nutritional science	Avidin dalam putih telur mentah mengikat biotin, mencegah penyerapan. Masak menghancurkan avidin.
Cassava + konsumsi jangka panjang (tanpa diversifikasi)	-	Chronic cyanide exposure	Konzo (kelumpuhan), neuropati tropis	error	WHO; Lancet	Populasi yang bergantung pada ubi kayu sebagai makanan utama tanpa pengolahan proper berisiko konzo.
Star fruit + ACE inhibitor	-	Caramboxin + obat hipertensi	Gagal ginjal akut	error	Nephrology journal	Penderita yang mengonsumsi ACE inhibitor dan makan starfruit memiliki risiko gagal ginjal lebih tinggi.
Grapefruit + buspirone	-	Furanocoumarin	Sedasi berlebihan, pusing	error	FDA	Grapefruit meningkatkan kadar buspirone hingga 9x lipat.
Grapefruit + sildenafil (viagra)	-	Furanocoumarin	Hipotensi, pusing, flushing	error	FDA	Grapefruit meningkatkan kadar sildenafil secara toksik.
Kombucha (overfermented)	-	Asam asetat + alkohol	Keracunan asam, gangguan lambung	error	CDC	Kombucha yang difermentasi terlalu lama menghasilkan asam asetat tinggi dan alkohol berlebih.
Madu (grayanotoxin/mad honey)	-	Grayanotoxin	Hipotensi, bradikardia, mual, pusing	error	CDC; WHO	Madu dari nektar rhododendron mengandung grayanotoxin yang menyebabkan "mad honey poisoning".
Alfalfa sprouts	-	Coumestrol	Gangguan hormonal, estrogenik	warning	Nutritional science	Alfalfa sprouts mengandung coumestrol yang bersifat estrogenik dalam jumlah besar.
Bitter melon (pare) + diabetes medication	-	Charantin	Hipoglikemia berat	error	PubMed; FDA	Pare memiliki efek hipoglikemik yang dapat berinteraksi dengan obat diabetes.
Spirulina (kontaminasi)	-	Microcystins	Keracunan hati	error	FDA; WHO	Spirulina liar yang terkontaminasi blue-green algae mengandung microcystins yang hepatotoksik.
Nangka mentah lateks	-	Lateks nangka	Iritasi kulit, reaksi alergi	warning	Traditional	Buah nangka mengandung lateks yang dapat mengiritasi kulit dan memicu alergi.
Bayam + keju (dosis tinggi)	-	Oxalat + kalsium	Batu ginjal kalsium oksalat	warning	Nutritional science	Kombinasi makanan tinggi oxalat dan kalsium dalam jumlah besar secara rutin meningkatkan risiko batu ginjal.
Tempe kedaluwarsa	-	Bakteri Clostridium botulinum	Botulisme, kelumpuhan, kematian	error	FDA; CDC	Tempe yang disimpan terlalu lama di lingkungan anaerob dapat mengembangkan botulinum toxin.
Ikan buntal (pufferfish)	-	Tetrodotoxin	Paralisis pernapasan, kematian	error	FDA; Japanese FDA	Ikan buntal mengandung tetrodotoxin yang sangat mematikan. 1200x lebih toksik dari sianida.
Kerang dari perairan tercemar	-	Paralytic Shellfish Poisoning (PSP)	Kelumpuhan, kematian	error	FDA; CDC	Kerang yang memakan alga beracun mengakumulasi saxitoxin. Memasak tidak menghancurkan toksin.
Darah babi (blood sausage)	-	Pathogen bakterial	Infeksi bakterial, keracunan makanan	error	WHO	Darah babi yang tidak dimasak sempurna berisiko mengandung patogen Salmonella, E. coli.
Minyak jelantah (berulang)	-	Polycyclic Aromatic Hydrocarbons (PAH)	Karsinogenik	error	EFSA; WHO	Minyak goreng yang dipakai berulang kali menghasilkan PAH dan senyawa karsinogenik lainnya.
Daging ayam mentah	-	Salmonella, Campylobacter	Gastroenteritis, demam, diare	error	FDA; CDC	Ayam mentah adalah sumber utama Salmonella. Harus dimasak hingga internal temp 74°C.
Telur mentah/setengah matang	-	Salmonella enteritidis	Gastroenteritis	error	FDA; CDC	Salmonella dapat hadir di dalam telur. Masak hingga kuning telur tidak cair.
Daging babi mentah	-	Trichinella spiralis	Trichinellosis, nyeri otot, demam	error	WHO; FDA	Daging babi yang tidak dimasak sempurna dapat mengandung larva Trichinella.
Ikan air tawar mentah	-	Gnathostoma spinigerum	Gnathostomiasis, migrasi larva di jaringan	error	WHO; CDC	Ikan air tawar mentah di Asia Tenggara sering mengandung larva Gnathostoma.
Sushi ikan salmon mentah	-	Anisakis	Gangguan pencernaan akut, reaksi alergi	error	FDA; EFSA	Anisakis adalah parasit yang ditemukan pada ikan laut mentah. Pembekuan -20°C selama 24j membunuh parasit.
Tauge mentah (konsumsi rutin)	-	Bakteri Salmonella, E. coli	Gangguan pencernaan kronis	error	FDA	CDC merekomendasikan tauge dimasak terutama untuk anak-anak, lansia, dan ibu hamil.
Kecap asin (dosis sangat tinggi)	-	Tyramine + natrium	Hipertensi, krisis MAO	warning	Nutritional science	Kecap asin fermentasi mengandung tyramine dan natrium tinggi.
MSG + makanan sangat pedas	-	Glutamate + capsaicin	Iritasi lambung ganda, sakit perut	warning	Nutritional science	Kombinasi MSG dan capsaicin dosis tinggi dapat mengiritasi lapisan lambung secara berlebihan.
Kerang mentah dari laut	-	Vibrio vulnificus	Infeksi darah, selulitis, kematian	error	FDA; CDC	Kerang mentah dapat mengandung Vibrio vulnificus yang sangat berbahaya bagi penderita penyakit hati.
Rhubarb leaves	-	Asam Oksalat (Oxalic acid)	Mual, muntah, batu ginjal, gagal ginjal	error	WHO; Medscape	Batang rhubarb aman, tetapi daunnya mengandung kadar asam oksalat sangat tinggi yang beracun.
Jagung berjamur (Aspergillus)	-	Aflatoxin + Fumonisin	Karsinogenik, gangguan pertumbuhan anak	error	EFSA; PMC	Jagung tropis sangat rentan terkontaminasi Aspergillus flavus yang menghasilkan aflatoxin.
Kecap manis (dosis sangat tinggi)	-	Gula + natrium + tyramine	Hiperglikemia, hipertensi, potensi krisis MAO	warning	Nutritional science	Kecap manis mengandung gula tinggi dan tyramine dari fermentasi kedelai.
